Quarter,Type of personal insolvency administration,State,In a business or company,Number of people entering a new personal insolvency
2022Q4,Deceased estate,Queensland,No,0
2022Q4,Deceased estate,South Australia,No,0
2022Q4,Deceased estate,Western Australia,No,0
2022Q4,Deceased estate,Tasmania,No,0
2022Q4,Deceased estate,Northern Territory,No,0
2022Q4,Deceased estate,Australian Capital Territory,No,0
2022Q4,Deceased estate,Other,No,10
2022Q4,Debt agreement,New South Wales,No,254
2022Q4,Debt agreement,Victoria,No,174
2022Q4,Debt agreement,Queensland,No,261
2022Q4,Debt agreement,South Australia,No,49
2022Q4,Debt agreement,Western Australia,No,92
2022Q4,Debt agreement,Tasmania,No,27
2022Q4,Debt agreement,Northern Territory,No,13
2022Q4,Debt agreement,Australian Capital Territory,No,19
2022Q4,Debt agreement,Other,No,1
2022Q4,Personal insolvency agreement,New South Wales,No,3
2022Q4,Personal insolvency agreement,Victoria,No,0
2022Q4,Personal insolvency agreement,Queensland,No,4
2022Q4,Personal insolvency agreement,South Australia,No,2
2022Q4,Personal insolvency agreement,Western Australia,No,3
2022Q4,Personal insolvency agreement,Tasmania,No,1
2022Q4,Personal insolvency agreement,Northern Territory,No,0
2022Q4,Personal insolvency agreement,Australian Capital Territory,No,1
2022Q4,Personal insolvency agreement,Other,No,0
2023Q1,Debtor's petition,New South Wales,No,246
2023Q1,Debtor's petition,Victoria,No,115
2023Q1,Debtor's petition,Queensland,No,248
2023Q1,Debtor's petition,South Australia,No,89
2023Q1,Debtor's petition,Western Australia,No,67
2023Q1,Debtor's petition,Tasmania,No,39
2023Q1,Debtor's petition,Northern Territory,No,7
2023Q1,Debtor's petition,Australian Capital Territory,No,5
2023Q1,Debtor's petition,Other,No,78
2023Q1,Sequestration order,New South Wales,No,33
2023Q1,Sequestration order,Victoria,No,33
2023Q1,Sequestration order,Queensland,No,16
2023Q1,Sequestration order,South Australia,No,3
2023Q1,Sequestration order,Western Australia,No,7
2023Q1,Sequestration order,Tasmania,No,0
2023Q1,Sequestration order,Northern Territory,No,0
2023Q1,Sequestration order,Australian Capital Territory,No,1
2023Q1,Sequestration order,Other,No,0
2023Q1,Total bankruptcies,New South Wales,No,279
2023Q1,Total bankruptcies,Victoria,No,148
2023Q1,Total bankruptcies,Queensland,No,264
2023Q1,Total bankruptcies,South Australia,No,92
2023Q1,Total bankruptcies,Western Australia,No,74
2023Q1,Total bankruptcies,Tasmania,No,39
2023Q1,Total bankruptcies,Northern Territory,No,7
2023Q1,Total bankruptcies,Australian Capital Territory,No,6
2023Q1,Total bankruptcies,Other,No,78
2023Q1,Deceased estate,New South Wales,No,0
2023Q1,Deceased estate,Victoria,No,0
2023Q1,Deceased estate,Queensland,No,0
2023Q1,Deceased estate,South Australia,No,0
2023Q1,Deceased estate,Western Australia,No,0
2023Q1,Deceased estate,Tasmania,No,0
2023Q1,Deceased estate,Northern Territory,No,0
2023Q1,Deceased estate,Australian Capital Territory,No,0
2023Q1,Deceased estate,Other,No,2
2023Q1,Debt agreement,New South Wales,No,275
2023Q1,Debt agreement,Victoria,No,172
2023Q1,Debt agreement,Queensland,No,287
2023Q1,Debt agreement,South Australia,No,47
2023Q1,Debt agreement,Western Australia,No,80
2023Q1,Debt agreement,Tasmania,No,35
2023Q1,Debt agreement,Northern Territory,No,12
2023Q1,Debt agreement,Australian Capital Territory,No,8
2023Q1,Debt agreement,Other,No,0
2023Q1,Personal insolvency agreement,New South Wales,No,3
2023Q1,Personal insolvency agreement,Victoria,No,2
2023Q1,Personal insolvency agreement,Queensland,No,5
2023Q1,Personal insolvency agreement,South Australia,No,1
2023Q1,Personal insolvency agreement,Western Australia,No,4
2023Q1,Personal insolvency agreement,Tasmania,No,1
2023Q1,Personal insolvency agreement,Northern Territory,No,0
2023Q1,Personal insolvency agreement,Australian Capital Territory,No,0
2023Q1,Personal insolvency agreement,Other,No,0
2023Q2,Debtor's petition,New South Wales,No,243
2023Q2,Debtor's petition,Victoria,No,125
2023Q2,Debtor's petition,Queensland,No,194
2023Q2,Debtor's petition,South Australia,No,62
2023Q2,Debtor's petition,Western Australia,No,62
2023Q2,Debtor's petition,Tasmania,No,37
2023Q2,Debtor's petition,Northern Territory,No,3
2023Q2,Debtor's petition,Australian Capital Territory,No,12
2023Q2,Debtor's petition,Other,No,95
2023Q2,Sequestration order,New South Wales,No,35
2023Q2,Sequestration order,Victoria,No,30
2023Q2,Sequestration order,Queensland,No,13
2023Q2,Sequestration order,South Australia,No,4
2023Q2,Sequestration order,Western Australia,No,11
2023Q2,Sequestration order,Tasmania,No,1
2023Q2,Sequestration order,Northern Territory,No,0
2023Q2,Sequestration order,Australian Capital Territory,No,0
2023Q2,Sequestration order,Other,No,1
2023Q2,Total bankruptcies,New South Wales,No,278
2023Q2,Total bankruptcies,Victoria,No,155
2023Q2,Total bankruptcies,Queensland,No,207
2023Q2,Total bankruptcies,South Australia,No,66
2023Q2,Total bankruptcies,Western Australia,No,73
2023Q2,Total bankruptcies,Tasmania,No,38
2023Q2,Total bankruptcies,Northern Territory,No,3
2023Q2,Total bankruptcies,Australian Capital Territory,No,12
2023Q2,Total bankruptcies,Other,No,96
2023Q2,Deceased estate,New South Wales,No,0
2023Q2,Deceased estate,Victoria,No,0
2023Q2,Deceased estate,Queensland,No,0
2023Q2,Deceased estate,South Australia,No,0
2023Q2,Deceased estate,Western Australia,No,0
2023Q2,Deceased estate,Tasmania,No,0
2023Q2,Deceased estate,Northern Territory,No,0
2023Q2,Deceased estate,Australian Capital Territory,No,0
2023Q2,Deceased estate,Other,No,2
2023Q2,Debt agreement,New South Wales,No,311
2023Q2,Debt agreement,Victoria,No,196
2023Q2,Debt agreement,Queensland,No,316
2023Q2,Debt agreement,South Australia,No,50
2023Q2,Debt agreement,Western Australia,No,97
2023Q2,Debt agreement,Tasmania,No,29
2023Q2,Debt agreement,Northern Territory,No,23
2023Q2,Debt agreement,Australian Capital Territory,No,7
2023Q2,Debt agreement,Other,No,3
2023Q2,Personal insolvency agreement,New South Wales,No,4
2023Q2,Personal insolvency agreement,Victoria,No,1
2023Q2,Personal insolvency agreement,Queensland,No,4
2023Q2,Personal insolvency agreement,South Australia,No,0
2023Q2,Personal insolvency agreement,Western Australia,No,2
2023Q2,Personal insolvency agreement,Tasmania,No,2
2023Q2,Personal insolvency agreement,Northern Territory,No,0
2023Q2,Personal insolvency agreement,Australian Capital Territory,No,0
2023Q2,Personal insolvency agreement,Other,No,0
2023Q3,Debtor's petition,New South Wales,No,280
2023Q3,Debtor's petition,Victoria,No,164
2023Q3,Debtor's petition,Queensland,No,219
2023Q3,Debtor's petition,South Australia,No,64
2023Q3,Debtor's petition,Western Australia,No,64
2023Q3,Debtor's petition,Tasmania,No,31
2023Q3,Debtor's petition,Northern Territory,No,4
2023Q3,Debtor's petition,Australian Capital Territory,No,7
2023Q3,Debtor's petition,Other,No,98
2023Q3,Sequestration order,New South Wales,No,37
2023Q3,Sequestration order,Victoria,No,24
2023Q3,Sequestration order,Queensland,No,26
2023Q3,Sequestration order,South Australia,No,6
2023Q3,Sequestration order,Western Australia,No,12
2023Q3,Sequestration order,Tasmania,No,2
2023Q3,Sequestration order,Northern Territory,No,1
2023Q3,Sequestration order,Australian Capital Territory,No,5
2023Q3,Sequestration order,Other,No,4
2023Q3,Total bankruptcies,New South Wales,No,317
2023Q3,Total bankruptcies,Victoria,No,188
2023Q3,Total bankruptcies,Queensland,No,245
2023Q3,Total bankruptcies,South Australia,No,70
2023Q3,Total bankruptcies,Western Australia,No,76
2023Q3,Total bankruptcies,Tasmania,No,33
2023Q3,Total bankruptcies,Northern Territory,No,5
2023Q3,Total bankruptcies,Australian Capital Territory,No,12
2023Q3,Total bankruptcies,Other,No,102
2023Q3,Deceased estate,New South Wales,No,0
2023Q3,Deceased estate,Victoria,No,0
2023Q3,Deceased estate,Queensland,No,0
2023Q3,Deceased estate,South Australia,No,0
2023Q3,Deceased estate,Western Australia,No,0
2023Q3,Deceased estate,Tasmania,No,0
2023Q3,Deceased estate,Northern Territory,No,0
2023Q3,Deceased estate,Australian Capital Territory,No,0
2023Q3,Deceased estate,Other,No,1
2023Q3,Debt agreement,New South Wales,No,394
2023Q3,Debt agreement,Victoria,No,254
2023Q3,Debt agreement,Queensland,No,359
2023Q3,Debt agreement,South Australia,No,69
2023Q3,Debt agreement,Western Australia,No,112
2023Q3,Debt agreement,Tasmania,No,36
2023Q3,Debt agreement,Northern Territory,No,14
2023Q3,Debt agreement,Australian Capital Territory,No,18
2023Q3,Debt agreement,Other,No,4
2023Q3,Personal insolvency agreement,New South Wales,No,8
2023Q3,Personal insolvency agreement,Victoria,No,0
2023Q3,Personal insolvency agreement,Queensland,No,5
2023Q3,Personal insolvency agreement,South Australia,No,0
2023Q3,Personal insolvency agreement,Western Australia,No,2
2023Q3,Personal insolvency agreement,Tasmania,No,1
2023Q3,Personal insolvency agreement,Northern Territory,No,1
2023Q3,Personal insolvency agreement,Australian Capital Territory,No,0
2023Q3,Personal insolvency agreement,Other,No,0
2023Q4,Debtor's petition,New South Wales,No,222
2023Q4,Debtor's petition,Australian Capital Territory,No,6
2023Q4,Debtor's petition,Victoria,No,137
2023Q4,Debtor's petition,Queensland,No,194
2023Q4,Debtor's petition,South Australia,No,58
2023Q4,Debtor's petition,Northern Territory,No,3
2023Q4,Debtor's petition,Western Australia,No,58
2023Q4,Debtor's petition,Tasmania,No,40
2023Q4,Debtor's petition,Other,No,78
2023Q4,Sequestration order,New South Wales,No,33
2023Q4,Sequestration order,Australian Capital Territory,No,2
2023Q4,Sequestration order,Victoria,No,28
2023Q4,Sequestration order,Queensland,No,17
2023Q4,Sequestration order,South Australia,No,8
2023Q4,Sequestration order,Northern Territory,No,1
2023Q4,Sequestration order,Western Australia,No,9
2023Q4,Sequestration order,Tasmania,No,2
2023Q4,Sequestration order,Other,No,0
2023Q4,Total bankruptcies,New South Wales,No,255
2023Q4,Total bankruptcies,Australian Capital Territory,No,8
2023Q4,Total bankruptcies,Victoria,No,165
2023Q4,Total bankruptcies,Queensland,No,211
2023Q4,Total bankruptcies,South Australia,No,66
2023Q4,Total bankruptcies,Northern Territory,No,4
2023Q4,Total bankruptcies,Western Australia,No,67
2023Q4,Total bankruptcies,Tasmania,No,42
2023Q4,Total bankruptcies,Other,No,78
2023Q4,Deceased estate,New South Wales,No,0
2023Q4,Deceased estate,Australian Capital Territory,No,0
2023Q4,Deceased estate,Victoria,No,0
2023Q4,Deceased estate,Queensland,No,0
2023Q4,Deceased estate,South Australia,No,0
2023Q4,Deceased estate,Northern Territory,No,0
2023Q4,Deceased estate,Western Australia,No,0
2023Q4,Deceased estate,Tasmania,No,0
2023Q4,Deceased estate,Other,No,1
2023Q4,Debt agreement,New South Wales,No,312
2023Q4,Debt agreement,Australian Capital Territory,No,17
2023Q4,Debt agreement,Victoria,No,194
2023Q4,Debt agreement,Queensland,No,279
2023Q4,Debt agreement,South Australia,No,53
2023Q4,Debt agreement,Northern Territory,No,17
2023Q4,Debt agreement,Western Australia,No,81
2023Q4,Debt agreement,Tasmania,No,28
2023Q4,Debt agreement,Other,No,0
2023Q4,Personal insolvency agreement,New South Wales,No,3
2023Q4,Personal insolvency agreement,Australian Capital Territory,No,0
2023Q4,Personal insolvency agreement,Victoria,No,5
2023Q4,Personal insolvency agreement,Queensland,No,6
2023Q4,Personal insolvency agreement,South Australia,No,1
2023Q4,Personal insolvency agreement,Northern Territory,No,0
2023Q4,Personal insolvency agreement,Western Australia,No,0
2023Q4,Personal insolvency agreement,Tasmania,No,2
2023Q4,Personal insolvency agreement,Other,No,0
2024Q1,Debtor's petition,New South Wales,No,312
2024Q1,Debtor's petition,Australian Capital Territory,No,9
2024Q1,Debtor's petition,Victoria,No,158
2024Q1,Debtor's petition,Queensland,No,267
2024Q1,Debtor's petition,South Australia,No,72
2024Q1,Debtor's petition,Northern Territory,No,4
2024Q1,Debtor's petition,Western Australia,No,61
2024Q1,Debtor's petition,Tasmania,No,26
2024Q1,Debtor's petition,Other,No,98
2024Q1,Sequestration order,New South Wales,No,33
2024Q1,Sequestration order,Australian Capital Territory,No,1
2024Q1,Sequestration order,Victoria,No,49
2024Q1,Sequestration order,Queensland,No,29
2024Q1,Sequestration order,South Australia,No,5
2024Q1,Sequestration order,Northern Territory,No,1
2024Q1,Sequestration order,Western Australia,No,7
2024Q1,Sequestration order,Tasmania,No,0
2024Q1,Sequestration order,Other,No,2
2024Q1,Total bankruptcies,New South Wales,No,345
2024Q1,Total bankruptcies,Australian Capital Territory,No,10
2024Q1,Total bankruptcies,Victoria,No,207
2024Q1,Total bankruptcies,Queensland,No,296
2024Q1,Total bankruptcies,South Australia,No,77
2024Q1,Total bankruptcies,Northern Territory,No,5
2024Q1,Total bankruptcies,Western Australia,No,68
2024Q1,Total bankruptcies,Tasmania,No,26
2024Q1,Total bankruptcies,Other,No,100
2024Q1,Deceased estate,New South Wales,No,0
2024Q1,Deceased estate,Australian Capital Territory,No,0
2024Q1,Deceased estate,Victoria,No,0
2024Q1,Deceased estate,Queensland,No,0
2024Q1,Deceased estate,South Australia,No,0
2024Q1,Deceased estate,Northern Territory,No,0
2024Q1,Deceased estate,Western Australia,No,0
2024Q1,Deceased estate,Tasmania,No,0
2024Q1,Deceased estate,Other,No,0
2024Q1,Debt agreement,New South Wales,No,327
2024Q1,Debt agreement,Australian Capital Territory,No,21
2024Q1,Debt agreement,Victoria,No,214
2024Q1,Debt agreement,Queensland,No,301
2024Q1,Debt agreement,South Australia,No,66
2024Q1,Debt agreement,Northern Territory,No,15
2024Q1,Debt agreement,Western Australia,No,106
2024Q1,Debt agreement,Tasmania,No,24
2024Q1,Debt agreement,Other,No,0
2024Q1,Personal insolvency agreement,New South Wales,No,8
2024Q1,Personal insolvency agreement,Australian Capital Territory,No,0
2024Q1,Personal insolvency agreement,Victoria,No,3
2024Q1,Personal insolvency agreement,Queensland,No,3
2024Q1,Personal insolvency agreement,South Australia,No,1
2024Q1,Personal insolvency agreement,Northern Territory,No,0
2024Q1,Personal insolvency agreement,Western Australia,No,0
2024Q1,Personal insolvency agreement,Tasmania,No,0
2024Q1,Personal insolvency agreement,Other,No,0
2024Q2,Debtor's petition,New South Wales,No,252
2024Q2,Debtor's petition,Australian Capital Territory,No,9
2024Q2,Debtor's petition,Victoria,No,163
2024Q2,Debtor's petition,Queensland,No,206
2024Q2,Debtor's petition,South Australia,No,57
2024Q2,Debtor's petition,Northern Territory,No,6
2024Q2,Debtor's petition,Western Australia,No,64
2024Q2,Debtor's petition,Tasmania,No,30
2024Q2,Debtor's petition,Other,No,82
2024Q2,Sequestration order,New South Wales,No,44
2024Q2,Sequestration order,Australian Capital Territory,No,2
2024Q2,Sequestration order,Victoria,No,39
2024Q2,Sequestration order,Queensland,No,28
2024Q2,Sequestration order,South Australia,No,3
2024Q2,Sequestration order,Northern Territory,No,3
2024Q2,Sequestration order,Western Australia,No,9
2024Q2,Sequestration order,Tasmania,No,0
2024Q2,Sequestration order,Other,No,5
2024Q2,Total bankruptcies,New South Wales,No,296
2024Q2,Total bankruptcies,Australian Capital Territory,No,11
2024Q2,Total bankruptcies,Victoria,No,202
2024Q2,Total bankruptcies,Queensland,No,234
2024Q2,Total bankruptcies,South Australia,No,60
2024Q2,Total bankruptcies,Northern Territory,No,9
2024Q2,Total bankruptcies,Western Australia,No,73
2024Q2,Total bankruptcies,Tasmania,No,30
2024Q2,Total bankruptcies,Other,No,87
2024Q2,Deceased estate,New South Wales,No,0
2024Q2,Deceased estate,Australian Capital Territory,No,0
2024Q2,Deceased estate,Victoria,No,0
2024Q2,Deceased estate,Queensland,No,0
2024Q2,Deceased estate,South Australia,No,0
2024Q2,Deceased estate,Northern Territory,No,0
2024Q2,Deceased estate,Western Australia,No,0
2024Q2,Deceased estate,Tasmania,No,0
2024Q2,Deceased estate,Other,No,1
2024Q2,Debt agreement,New South Wales,No,335
2024Q2,Debt agreement,Australian Capital Territory,No,13
2024Q2,Debt agreement,Victoria,No,216
2024Q2,Debt agreement,Queensland,No,311
2024Q2,Debt agreement,South Australia,No,77
2024Q2,Debt agreement,Northern Territory,No,30
2024Q2,Debt agreement,Western Australia,No,104
2024Q2,Debt agreement,Tasmania,No,27
2024Q2,Debt agreement,Other,No,2
2024Q2,Personal insolvency agreement,New South Wales,No,9
2024Q2,Personal insolvency agreement,Australian Capital Territory,No,0
2024Q2,Personal insolvency agreement,Victoria,No,10
2024Q2,Personal insolvency agreement,Queensland,No,9
2024Q2,Personal insolvency agreement,South Australia,No,2
2024Q2,Personal insolvency agreement,Northern Territory,No,2
2024Q2,Personal insolvency agreement,Western Australia,No,3
2024Q2,Personal insolvency agreement,Tasmania,No,0
2024Q2,Personal insolvency agreement,Other,No,1
2024Q3,Debtor's petition,New South Wales,No,275
2024Q3,Debtor's petition,Australian Capital Territory,No,5
2024Q3,Debtor's petition,Victoria,No,149
2024Q3,Debtor's petition,Queensland,No,210
2024Q3,Debtor's petition,South Australia,No,45
2024Q3,Debtor's petition,Northern Territory,No,1
2024Q3,Debtor's petition,Western Australia,No,74
2024Q3,Debtor's petition,Tasmania,No,37
2024Q3,Debtor's petition,Other,No,73
2024Q3,Sequestration order,New South Wales,No,49
2024Q3,Sequestration order,Australian Capital Territory,No,3
2024Q3,Sequestration order,Victoria,No,38
2024Q3,Sequestration order,Queensland,No,25
2024Q3,Sequestration order,South Australia,No,3
2024Q3,Sequestration order,Northern Territory,No,2
2024Q3,Sequestration order,Western Australia,No,5
2024Q3,Sequestration order,Tasmania,No,0
2024Q3,Sequestration order,Other,No,4
2024Q3,Total bankruptcies,New South Wales,No,324
2024Q3,Total bankruptcies,Australian Capital Territory,No,8
2024Q3,Total bankruptcies,Victoria,No,187
2024Q3,Total bankruptcies,Queensland,No,235
2024Q3,Total bankruptcies,South Australia,No,48
2024Q3,Total bankruptcies,Northern Territory,No,3
2024Q3,Total bankruptcies,Western Australia,No,79
2024Q3,Total bankruptcies,Tasmania,No,37
