Quarter,Type of personal insolvency administration,State,In a business or company,Number of people entering a new personal insolvency,,
Mar-18,Debt agreement,South Australia,Yes,11,,
Mar-18,Debt agreement,Western Australia,Yes,36,,
Mar-18,Debt agreement,Tasmania,Yes,5,,
Mar-18,Debt agreement,Northern Territory,Yes,1,,
Mar-18,Debt agreement,Australian Capital Territory,Yes,6,,
Mar-18,Debt agreement,Other,Yes,0,,
Mar-18,Debt agreement,Total,Yes,259,,
Mar-18,Debt agreement,New South Wales,No,1141,,
Mar-18,Debt agreement,Victoria,No,599,,
Mar-18,Debt agreement,Queensland,No,920,,
Mar-18,Debt agreement,South Australia,No,194,,
Mar-18,Debt agreement,Western Australia,No,436,,
Mar-18,Debt agreement,Tasmania,No,67,,
Mar-18,Debt agreement,Northern Territory,No,45,,
Mar-18,Debt agreement,Australian Capital Territory,No,60,,
Mar-18,Debt agreement,Other,No,4,,
Mar-18,Debt agreement,Total,No,3466,,
Mar-18,Debt agreement,New South Wales,Total,1219,,
Mar-18,Debt agreement,Victoria,Total,645,,
Mar-18,Debt agreement,Queensland,Total,996,,
Mar-18,Debt agreement,South Australia,Total,205,,
Mar-18,Debt agreement,Western Australia,Total,472,,
Mar-18,Debt agreement,Tasmania,Total,72,,
Mar-18,Debt agreement,Northern Territory,Total,46,,
Mar-18,Debt agreement,Australian Capital Territory,Total,66,,
Mar-18,Debt agreement,Other,Total,4,,
Mar-18,Debt agreement,Total,Total,3725,,
Mar-18,Personal insolvency agreement,New South Wales,Yes,9,,
Mar-18,Personal insolvency agreement,Victoria,Yes,5,,
Mar-18,Personal insolvency agreement,Queensland,Yes,8,,
Mar-18,Personal insolvency agreement,South Australia,Yes,2,,
Mar-18,Personal insolvency agreement,Western Australia,Yes,3,,
Mar-18,Personal insolvency agreement,Tasmania,Yes,0,,
Mar-18,Personal insolvency agreement,Northern Territory,Yes,0,,
Mar-18,Personal insolvency agreement,Australian Capital Territory,Yes,0,,
Mar-18,Personal insolvency agreement,Other,Yes,0,,
Mar-18,Personal insolvency agreement,Total,Yes,27,,
Mar-18,Personal insolvency agreement,New South Wales,No,3,,
Mar-18,Personal insolvency agreement,Victoria,No,4,,
Mar-18,Personal insolvency agreement,Queensland,No,6,,
Mar-18,Personal insolvency agreement,South Australia,No,0,,
Mar-18,Personal insolvency agreement,Western Australia,No,0,,
Mar-18,Personal insolvency agreement,Tasmania,No,0,,
Mar-18,Personal insolvency agreement,Northern Territory,No,0,,
Mar-18,Personal insolvency agreement,Australian Capital Territory,No,0,,
Mar-18,Personal insolvency agreement,Other,No,0,,
Mar-18,Personal insolvency agreement,Total,No,13,,
Mar-18,Personal insolvency agreement,New South Wales,Total,12,,
Mar-18,Personal insolvency agreement,Victoria,Total,9,,
Mar-18,Personal insolvency agreement,Queensland,Total,14,,
Mar-18,Personal insolvency agreement,South Australia,Total,2,,
Mar-18,Personal insolvency agreement,Western Australia,Total,3,,
Mar-18,Personal insolvency agreement,Tasmania,Total,0,,
Mar-18,Personal insolvency agreement,Northern Territory,Total,0,,
Mar-18,Personal insolvency agreement,Australian Capital Territory,Total,0,,
Mar-18,Personal insolvency agreement,Other,Total,0,,
Mar-18,Personal insolvency agreement,Total,Total,40,,
Mar-18,Total personal insolvencies,New South Wales,Yes,463,,
Mar-18,Total personal insolvencies,Victoria,Yes,324,,
Mar-18,Total personal insolvencies,Queensland,Yes,544,,
Mar-18,Total personal insolvencies,South Australia,Yes,109,,
Mar-18,Total personal insolvencies,Western Australia,Yes,263,,
Mar-18,Total personal insolvencies,Tasmania,Yes,28,,
Mar-18,Total personal insolvencies,Northern Territory,Yes,19,,
Mar-18,Total personal insolvencies,Australian Capital Territory,Yes,20,,
Mar-18,Total personal insolvencies,Other,Yes,14,,
Mar-18,Total personal insolvencies,Total,Yes,1784,,
Mar-18,Total personal insolvencies,New South Wales,No,1930,,
Mar-18,Total personal insolvencies,Victoria,No,1060,,
Mar-18,Total personal insolvencies,Queensland,No,1774,,
Mar-18,Total personal insolvencies,South Australia,No,378,,
Mar-18,Total personal insolvencies,Western Australia,No,786,,
Mar-18,Total personal insolvencies,Tasmania,No,168,,
Mar-18,Total personal insolvencies,Northern Territory,No,68,,
Mar-18,Total personal insolvencies,Australian Capital Territory,No,83,,
Mar-18,Total personal insolvencies,Other,No,15,,
Mar-18,Total personal insolvencies,Total,No,6262,,
Mar-18,Total personal insolvencies,New South Wales,Total,2393,,
Mar-18,Total personal insolvencies,Victoria,Total,1384,,
Mar-18,Total personal insolvencies,Queensland,Total,2318,,
Mar-18,Total personal insolvencies,South Australia,Total,487,,
Mar-18,Total personal insolvencies,Western Australia,Total,1049,,
Mar-18,Total personal insolvencies,Tasmania,Total,196,,
Mar-18,Total personal insolvencies,Northern Territory,Total,87,,
Mar-18,Total personal insolvencies,Australian Capital Territory,Total,103,,
Mar-18,Total personal insolvencies,Other,Total,29,,
Mar-18,Total personal insolvencies,Total,Total,8046,,
Jun-18,Debtor's petition,New South Wales,Yes,409,,
Jun-18,Debtor's petition,Victoria,Yes,272,,
Jun-18,Debtor's petition,Queensland,Yes,454,,
Jun-18,Debtor's petition,South Australia,Yes,86,,
Jun-18,Debtor's petition,Western Australia,Yes,238,,
Jun-18,Debtor's petition,Tasmania,Yes,29,,
Jun-18,Debtor's petition,Northern Territory,Yes,13,,
Jun-18,Debtor's petition,Australian Capital Territory,Yes,17,,
Jun-18,Debtor's petition,Other,Yes,14,,
Jun-18,Debtor's petition,Total,Yes,1532,,
Jun-18,Debtor's petition,New South Wales,No,768,,
Jun-18,Debtor's petition,Victoria,No,392,,
Jun-18,Debtor's petition,Queensland,No,766,,
Jun-18,Debtor's petition,South Australia,No,194,,
Jun-18,Debtor's petition,Western Australia,No,306,,
Jun-18,Debtor's petition,Tasmania,No,73,,
Jun-18,Debtor's petition,Northern Territory,No,30,,
Jun-18,Debtor's petition,Australian Capital Territory,No,25,,
Jun-18,Debtor's petition,Other,No,14,,
Jun-18,Debtor's petition,Total,No,2568,,
Jun-18,Debtor's petition,New South Wales,Total,1177,,
Jun-18,Debtor's petition,Victoria,Total,664,,
Jun-18,Debtor's petition,Queensland,Total,1220,,
Jun-18,Debtor's petition,South Australia,Total,280,,
Jun-18,Debtor's petition,Western Australia,Total,544,,
Jun-18,Debtor's petition,Tasmania,Total,102,,
Jun-18,Debtor's petition,Northern Territory,Total,43,,
Jun-18,Debtor's petition,Australian Capital Territory,Total,42,,
Jun-18,Debtor's petition,Other,Total,28,,
Jun-18,Debtor's petition,Total,Total,4100,,
Jun-18,Sequestration order,New South Wales,Yes,64,,
Jun-18,Sequestration order,Victoria,Yes,54,,
Jun-18,Sequestration order,Queensland,Yes,73,,
Jun-18,Sequestration order,South Australia,Yes,13,,
Jun-18,Sequestration order,Western Australia,Yes,28,,
Jun-18,Sequestration order,Tasmania,Yes,1,,
Jun-18,Sequestration order,Northern Territory,Yes,3,,
Jun-18,Sequestration order,Australian Capital Territory,Yes,5,,
Jun-18,Sequestration order,Other,Yes,1,,
Jun-18,Sequestration order,Total,Yes,242,,
Jun-18,Sequestration order,New South Wales,No,38,,
Jun-18,Sequestration order,Victoria,No,32,,
Jun-18,Sequestration order,Queensland,No,38,,
Jun-18,Sequestration order,South Australia,No,11,,
Jun-18,Sequestration order,Western Australia,No,15,,
Jun-18,Sequestration order,Tasmania,No,3,,
Jun-18,Sequestration order,Northern Territory,No,4,,
Jun-18,Sequestration order,Australian Capital Territory,No,2,,
Jun-18,Sequestration order,Other,No,0,,
Jun-18,Sequestration order,Total,No,143,,
Jun-18,Sequestration order,New South Wales,Total,102,,
Jun-18,Sequestration order,Victoria,Total,86,,
Jun-18,Sequestration order,Queensland,Total,111,,
Jun-18,Sequestration order,South Australia,Total,24,,
Jun-18,Sequestration order,Western Australia,Total,43,,
Jun-18,Sequestration order,Tasmania,Total,4,,
Jun-18,Sequestration order,Northern Territory,Total,7,,
Jun-18,Sequestration order,Australian Capital Territory,Total,7,,
Jun-18,Sequestration order,Other,Total,1,,
Jun-18,Sequestration order,Total,Total,385,,
Jun-18,Total bankruptcies,New South Wales,Yes,473,,
Jun-18,Total bankruptcies,Victoria,Yes,326,,
Jun-18,Total bankruptcies,Queensland,Yes,527,,
Jun-18,Total bankruptcies,South Australia,Yes,99,,
Jun-18,Total bankruptcies,Western Australia,Yes,266,,
Jun-18,Total bankruptcies,Tasmania,Yes,30,,
Jun-18,Total bankruptcies,Northern Territory,Yes,16,,
Jun-18,Total bankruptcies,Australian Capital Territory,Yes,22,,
Jun-18,Total bankruptcies,Other,Yes,15,,
Jun-18,Total bankruptcies,Total,Yes,1774,,
Jun-18,Total bankruptcies,New South Wales,No,806,,
Jun-18,Total bankruptcies,Victoria,No,424,,
Jun-18,Total bankruptcies,Queensland,No,804,,
Jun-18,Total bankruptcies,South Australia,No,205,,
Jun-18,Total bankruptcies,Western Australia,No,321,,
Jun-18,Total bankruptcies,Tasmania,No,76,,
Jun-18,Total bankruptcies,Northern Territory,No,34,,
Jun-18,Total bankruptcies,Australian Capital Territory,No,27,,
Jun-18,Total bankruptcies,Other,No,14,,
Jun-18,Total bankruptcies,Total,No,2711,,
Jun-18,Total bankruptcies,New South Wales,Total,1279,,
Jun-18,Total bankruptcies,Victoria,Total,750,,
Jun-18,Total bankruptcies,Queensland,Total,1331,,
Jun-18,Total bankruptcies,South Australia,Total,304,,
Jun-18,Total bankruptcies,Western Australia,Total,587,,
Jun-18,Total bankruptcies,Tasmania,Total,106,,
Jun-18,Total bankruptcies,Northern Territory,Total,50,,
Jun-18,Total bankruptcies,Australian Capital Territory,Total,49,,
Jun-18,Total bankruptcies,Other,Total,29,,
Jun-18,Total bankruptcies,Total,Total,4485,,
Jun-18,Deceased estate,New South Wales,Yes,0,,
Jun-18,Deceased estate,Victoria,Yes,0,,
Jun-18,Deceased estate,Queensland,Yes,0,,
Jun-18,Deceased estate,South Australia,Yes,0,,
Jun-18,Deceased estate,Western Australia,Yes,0,,
Jun-18,Deceased estate,Tasmania,Yes,0,,
Jun-18,Deceased estate,Northern Territory,Yes,0,,
Jun-18,Deceased estate,Australian Capital Territory,Yes,0,,
Jun-18,Deceased estate,Other,Yes,2,,
Jun-18,Deceased estate,Total,Yes,2,,
Jun-18,Deceased estate,New South Wales,No,0,,
Jun-18,Deceased estate,Victoria,No,0,,
Jun-18,Deceased estate,Queensland,No,0,,
Jun-18,Deceased estate,South Australia,No,0,,
Jun-18,Deceased estate,Western Australia,No,0,,
Jun-18,Deceased estate,Tasmania,No,0,,
Jun-18,Deceased estate,Northern Territory,No,0,,
Jun-18,Deceased estate,Australian Capital Territory,No,0,,
Jun-18,Deceased estate,Other,No,2,,
Jun-18,Deceased estate,Total,No,2,,
Jun-18,Deceased estate,New South Wales,Total,0,,
Jun-18,Deceased estate,Victoria,Total,0,,
Jun-18,Deceased estate,Queensland,Total,0,,
Jun-18,Deceased estate,South Australia,Total,0,,
Jun-18,Deceased estate,Western Australia,Total,0,,
Jun-18,Deceased estate,Tasmania,Total,0,,
Jun-18,Deceased estate,Northern Territory,Total,0,,
Jun-18,Deceased estate,Australian Capital Territory,Total,0,,
Jun-18,Deceased estate,Other,Total,4,,
Jun-18,Deceased estate,Total,Total,4,,
Jun-18,Debt agreement,New South Wales,Yes,70,,
Jun-18,Debt agreement,Victoria,Yes,62,,
Jun-18,Debt agreement,Queensland,Yes,55,,
Jun-18,Debt agreement,South Australia,Yes,16,,
Jun-18,Debt agreement,Western Australia,Yes,41,,
Jun-18,Debt agreement,Tasmania,Yes,6,,
Jun-18,Debt agreement,Northern Territory,Yes,2,,
Jun-18,Debt agreement,Australian Capital Territory,Yes,4,,
Jun-18,Debt agreement,Other,Yes,0,,
Jun-18,Debt agreement,Total,Yes,256,,
Jun-18,Debt agreement,New South Wales,No,1037,,
Jun-18,Debt agreement,Victoria,No,610,,
Jun-18,Debt agreement,Queensland,No,1038,,
Jun-18,Debt agreement,South Australia,No,171,,
Jun-18,Debt agreement,Western Australia,No,426,,
Jun-18,Debt agreement,Tasmania,No,84,,
Jun-18,Debt agreement,Northern Territory,No,44,,
Jun-18,Debt agreement,Australian Capital Territory,No,51,,
Jun-18,Debt agreement,Other,No,7,,
Jun-18,Debt agreement,Total,No,3468,,
Jun-18,Debt agreement,New South Wales,Total,1107,,
Jun-18,Debt agreement,Victoria,Total,672,,
Jun-18,Debt agreement,Queensland,Total,1093,,
Jun-18,Debt agreement,South Australia,Total,187,,
Jun-18,Debt agreement,Western Australia,Total,467,,
Jun-18,Debt agreement,Tasmania,Total,90,,
Jun-18,Debt agreement,Northern Territory,Total,46,,
Jun-18,Debt agreement,Australian Capital Territory,Total,55,,
Jun-18,Debt agreement,Other,Total,7,,
Jun-18,Debt agreement,Total,Total,3724,,
Jun-18,Personal insolvency agreement,New South Wales,Yes,10,,
Jun-18,Personal insolvency agreement,Victoria,Yes,5,,
Jun-18,Personal insolvency agreement,Queensland,Yes,5,,
Jun-18,Personal insolvency agreement,South Australia,Yes,1,,
Jun-18,Personal insolvency agreement,Western Australia,Yes,3,,
Jun-18,Personal insolvency agreement,Tasmania,Yes,0,,
Jun-18,Personal insolvency agreement,Northern Territory,Yes,0,,
Jun-18,Personal insolvency agreement,Australian Capital Territory,Yes,0,,
Jun-18,Personal insolvency agreement,Other,Yes,0,,
Jun-18,Personal insolvency agreement,Total,Yes,24,,
Jun-18,Personal insolvency agreement,New South Wales,No,4,,
Jun-18,Personal insolvency agreement,Victoria,No,1,,
Jun-18,Personal insolvency agreement,Queensland,No,11,,
Jun-18,Personal insolvency agreement,South Australia,No,5,,
Jun-18,Personal insolvency agreement,Western Australia,No,8,,
Jun-18,Personal insolvency agreement,Tasmania,No,0,,
Jun-18,Personal insolvency agreement,Northern Territory,No,0,,
Jun-18,Personal insolvency agreement,Australian Capital Territory,No,0,,
Jun-18,Personal insolvency agreement,Other,No,0,,
Jun-18,Personal insolvency agreement,Total,No,29,,
Jun-18,Personal insolvency agreement,New South Wales,Total,14,,
Jun-18,Personal insolvency agreement,Victoria,Total,6,,
Jun-18,Personal insolvency agreement,Queensland,Total,16,,
Jun-18,Personal insolvency agreement,South Australia,Total,6,,
Jun-18,Personal insolvency agreement,Western Australia,Total,11,,
Jun-18,Personal insolvency agreement,Tasmania,Total,0,,
Jun-18,Personal insolvency agreement,Northern Territory,Total,0,,
Jun-18,Personal insolvency agreement,Australian Capital Territory,Total,0,,
Jun-18,Personal insolvency agreement,Other,Total,0,,
Jun-18,Personal insolvency agreement,Total,Total,53,,
Jun-18,Total personal insolvencies,New South Wales,Yes,553,,
Jun-18,Total personal insolvencies,Victoria,Yes,393,,
Jun-18,Total personal insolvencies,Queensland,Yes,587,,
Jun-18,Total personal insolvencies,South Australia,Yes,116,,
Jun-18,Total personal insolvencies,Western Australia,Yes,310,,
Jun-18,Total personal insolvencies,Tasmania,Yes,36,,
Jun-18,Total personal insolvencies,Northern Territory,Yes,18,,
Jun-18,Total personal insolvencies,Australian Capital Territory,Yes,26,,
Jun-18,Total personal insolvencies,Other,Yes,17,,
Jun-18,Total personal insolvencies,Total,Yes,2056,,
Jun-18,Total personal insolvencies,New South Wales,No,1847,,
Jun-18,Total personal insolvencies,Victoria,No,1035,,
Jun-18,Total personal insolvencies,Queensland,No,1853,,
Jun-18,Total personal insolvencies,South Australia,No,381,,
Jun-18,Total personal insolvencies,Western Australia,No,755,,
Jun-18,Total personal insolvencies,Tasmania,No,160,,
Jun-18,Total personal insolvencies,Northern Territory,No,78,,
Jun-18,Total personal insolvencies,Australian Capital Territory,No,78,,
Jun-18,Total personal insolvencies,Other,No,23,,
Jun-18,Total personal insolvencies,Total,No,6210,,
Jun-18,Total personal insolvencies,New South Wales,Total,2400,,
Jun-18,Total personal insolvencies,Victoria,Total,1428,,
Jun-18,Total personal insolvencies,Queensland,Total,2440,,
Jun-18,Total personal insolvencies,South Australia,Total,497,,
Jun-18,Total personal insolvencies,Western Australia,Total,1065,,
Jun-18,Total personal insolvencies,Tasmania,Total,196,,
Jun-18,Total personal insolvencies,Northern Territory,Total,96,,
Jun-18,Total personal insolvencies,Australian Capital Territory,Total,104,,
Jun-18,Total personal insolvencies,Other,Total,40,,
Jun-18,Total personal insolvencies,Total,Total,8266,,
Sep-18,Debtor's petition,New South Wales,Yes,348,,
Sep-18,Debtor's petition,Victoria,Yes,233,,
Sep-18,Debtor's petition,Queensland,Yes,432,,
Sep-18,Debtor's petition,South Australia,Yes,62,,
Sep-18,Debtor's petition,Western Australia,Yes,203,,
Sep-18,Debtor's petition,Tasmania,Yes,11,,
Sep-18,Debtor's petition,Northern Territory,Yes,15,,
Sep-18,Debtor's petition,Australian Capital Territory,Yes,12,,
Sep-18,Debtor's petition,Other,Yes,23,,
Sep-18,Debtor's petition,Total,Yes,1339,,
Sep-18,Debtor's petition,New South Wales,No,658,,
Sep-18,Debtor's petition,Victoria,No,369,,
Sep-18,Debtor's petition,Queensland,No,688,,
Sep-18,Debtor's petition,South Australia,No,174,,
Sep-18,Debtor's petition,Western Australia,No,279,,
Sep-18,Debtor's petition,Tasmania,No,65,,
Sep-18,Debtor's petition,Northern Territory,No,9,,
Sep-18,Debtor's petition,Australian Capital Territory,No,22,,
Sep-18,Debtor's petition,Other,No,46,,
Sep-18,Debtor's petition,Total,No,2310,,
Sep-18,Debtor's petition,New South Wales,Total,1006,,
Sep-18,Debtor's petition,Victoria,Total,602,,
Sep-18,Debtor's petition,Queensland,Total,1120,,
Sep-18,Debtor's petition,South Australia,Total,236,,
Sep-18,Debtor's petition,Western Australia,Total,482,,
Sep-18,Debtor's petition,Tasmania,Total,76,,
Sep-18,Debtor's petition,Northern Territory,Total,24,,
Sep-18,Debtor's petition,Australian Capital Territory,Total,34,,
Sep-18,Debtor's petition,Other,Total,69,,
Sep-18,Debtor's petition,Total,Total,3649,,
Sep-18,Sequestration order,New South Wales,Yes,49,,
Sep-18,Sequestration order,Victoria,Yes,50,,
Sep-18,Sequestration order,Queensland,Yes,59,,
Sep-18,Sequestration order,South Australia,Yes,5,,
Sep-18,Sequestration order,Western Australia,Yes,43,,
Sep-18,Sequestration order,Tasmania,Yes,3,,
Sep-18,Sequestration order,Northern Territory,Yes,1,,
Sep-18,Sequestration order,Australian Capital Territory,Yes,1,,
Sep-18,Sequestration order,Other,Yes,6,,
Sep-18,Sequestration order,Total,Yes,217,,
Sep-18,Sequestration order,New South Wales,No,36,,
Sep-18,Sequestration order,Victoria,No,38,,
Sep-18,Sequestration order,Queensland,No,35,,
Sep-18,Sequestration order,South Australia,No,11,,
Sep-18,Sequestration order,Western Australia,No,34,,
Sep-18,Sequestration order,Tasmania,No,1,,
Sep-18,Sequestration order,Northern Territory,No,3,,
Sep-18,Sequestration order,Australian Capital Territory,No,1,,
Sep-18,Sequestration order,Other,No,6,,
